TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-4078.0,56.31,97.29,97.62,92.27,101.98,4.87,56.17,56.07,53.42,59.02,56.31,2.1,2.0,2.18,Triangle_5
-4026.0,55.8,96.54,96.75,93.13,99.73,3.3,55.74,55.66,53.87,57.68,55.8,2.1,2.03,2.15,Triangle_5
-5898.5,69.35,118.49,123.31,101.79,130.36,14.88,68.44,66.25,61.59,77.49,69.35,2.17,1.84,2.27,Circle_4
-5851.0,69.06,117.97,121.08,102.18,130.65,14.49,68.13,66.97,60.67,76.75,69.06,2.15,1.85,2.28,Circle_4
-8156.0,81.94,139.65,144.22,119.1,155.62,18.68,80.66,78.89,71.3,91.8,81.94,2.16,1.83,2.29,Circle_5
-8402.0,82.88,141.55,149.05,120.51,155.08,18.47,81.78,78.12,74.11,93.1,82.88,2.19,1.83,2.26,Circle_5
-1948.5,39.08,67.39,68.68,62.24,71.25,4.64,38.91,38.28,36.67,41.79,39.08,2.13,1.96,2.19,Triangle_3
-1861.5,38.86,66.46,68.68,57.71,73.0,7.88,38.39,37.42,34.58,43.16,38.86,2.16,1.86,2.27,Triangle_3
-2920.0,48.11,82.71,82.04,76.16,89.94,6.92,47.75,48.36,43.42,51.47,48.11,2.08,1.96,2.24,Triangle_4
-2898.5,47.78,82.28,81.61,76.54,88.68,6.1,47.5,48.06,43.68,50.77,47.78,2.08,1.97,2.23,Triangle_4
-4871.0,71.8,116.63,137.03,73.01,139.84,37.8,68.05,58.68,56.43,89.03,71.8,2.44,1.37,2.47,Square_4
-4406.5,71.59,114.5,138.92,65.12,139.47,42.77,67.16,55.87,55.4,90.22,71.59,2.51,1.25,2.52,Square_4
-2910.5,50.38,84.89,94.03,65.73,94.89,16.59,49.13,44.48,43.87,59.04,50.38,2.29,1.68,2.31,Circle_3
-2901.5,51.06,85.51,95.44,63.89,97.19,18.74,49.54,44.65,43.38,60.58,51.06,2.31,1.62,2.34,Circle_3
-2809.0,47.76,81.69,85.87,70.26,88.96,10.02,47.19,45.12,43.08,53.37,47.76,2.19,1.84,2.25,Rectangle_4
-2744.0,46.92,80.48,84.22,70.58,86.65,8.66,46.48,44.58,43.0,51.88,46.92,2.18,1.87,2.23,Rectangle_4
-3626.5,53.82,92.4,95.46,82.01,99.73,9.25,53.36,51.89,49.14,59.06,53.82,2.16,1.89,2.23,Circle_3
-3635.5,53.52,92.18,94.54,84.01,98.01,7.29,53.23,52.05,49.87,57.76,53.52,2.14,1.94,2.2,Circle_3
-4699.5,72.89,117.09,140.12,68.59,142.56,42.02,68.56,58.14,56.13,91.41,72.89,2.48,1.29,2.51,Square_4
-4870.0,72.53,117.39,138.46,72.03,141.68,39.32,68.56,59.02,56.42,90.25,72.53,2.45,1.35,2.49,Square_4
-4796.0,66.58,110.85,124.34,80.31,127.91,26.51,64.28,57.89,55.23,79.72,66.58,2.33,1.58,2.38,Circle_4
-4944.5,67.57,112.45,124.15,82.15,131.03,26.46,65.17,60.02,54.93,80.57,67.57,2.3,1.59,2.39,Circle_4
-2146.0,40.89,70.62,72.47,66.03,73.35,4.0,40.77,39.76,39.22,43.34,40.89,2.14,1.98,2.16,Rectangle_3
-2165.0,41.23,71.07,73.82,65.07,74.32,5.2,41.04,39.53,39.22,44.36,41.23,2.16,1.94,2.18,Rectangle_3
-3056.5,49.26,84.65,83.73,77.93,92.31,7.23,48.87,49.64,44.28,52.69,49.26,2.08,1.96,2.25,Triangle_4
-2840.0,47.54,81.64,80.06,75.43,89.44,7.14,47.13,48.27,42.42,50.69,47.54,2.06,1.96,2.26,Triangle_4
-6390.5,85.46,137.08,165.89,79.31,166.03,50.03,80.32,66.82,66.71,107.44,85.46,2.51,1.27,2.51,Square_5
-6639.0,86.73,139.31,167.73,81.3,168.91,50.24,81.59,68.43,67.46,108.89,86.73,2.49,1.28,2.51,Square_5
-2012.5,39.38,68.19,68.43,67.03,69.12,1.06,39.37,39.24,38.83,40.03,39.38,2.1,2.06,2.12,Triangle_3
-1925.0,38.6,66.76,67.19,64.14,68.96,2.44,38.55,38.33,37.27,40.04,38.6,2.11,2.03,2.15,Triangle_3
-4264.0,58.56,100.38,103.87,88.09,109.17,10.96,57.97,56.34,52.9,64.68,58.56,2.16,1.88,2.25,Rectangle_5
-4139.0,58.08,99.2,101.24,86.28,110.07,12.02,57.29,56.64,50.85,64.36,58.08,2.14,1.86,2.28,Rectangle_5
-2671.5,46.54,79.62,82.64,69.01,87.21,9.47,45.99,44.6,41.6,51.75,46.54,2.17,1.86,2.26,Rectangle_4
-2819.0,47.88,81.84,84.15,71.01,90.35,9.88,47.27,46.34,42.27,53.18,47.88,2.15,1.86,2.27,Rectangle_4
-8300.0,84.66,142.93,158.11,112.07,158.62,26.73,82.71,74.86,74.51,98.75,84.66,2.29,1.7,2.3,Circle_5
-7692.0,82.66,138.76,155.6,105.0,155.67,29.23,80.36,71.73,71.68,97.67,82.66,2.32,1.64,2.32,Circle_5
-2586.0,44.63,77.29,77.67,76.32,77.88,0.84,44.62,44.41,44.28,45.18,44.63,2.1,2.07,2.11,Triangle_4
-2722.0,45.91,79.4,79.76,76.16,82.29,3.08,45.84,45.69,44.16,47.69,45.91,2.1,2.02,2.16,Triangle_4
-3847.5,55.3,95.04,97.94,85.15,102.04,8.81,54.89,53.47,50.85,60.33,55.3,2.15,1.91,2.22,Rectangle_5
-3910.0,55.82,95.9,101.13,85.0,101.55,9.44,55.38,52.54,52.27,61.33,55.82,2.19,1.89,2.2,Rectangle_5
-2904.0,47.58,82.14,80.1,79.12,87.2,4.41,47.42,48.66,44.41,49.19,47.58,2.05,2.03,2.2,Triangle_4
-2975.0,48.13,83.13,84.02,78.26,87.09,4.48,47.99,47.56,45.69,50.73,48.13,2.11,1.99,2.18,Triangle_4
-2968.5,47.81,82.81,83.19,81.84,83.38,0.84,47.81,47.59,47.48,48.36,47.81,2.1,2.07,2.11,Triangle_4
-3016.5,48.21,83.48,83.86,82.05,84.53,1.28,48.2,47.99,47.59,49.02,48.21,2.1,2.06,2.12,Triangle_4
-2787.0,46.48,80.37,81.61,76.48,83.02,3.44,46.4,45.73,44.88,48.6,46.48,2.12,2.01,2.15,Triangle_4
-2762.5,46.29,80.03,81.02,76.06,83.01,3.58,46.21,45.69,44.48,48.45,46.29,2.12,2.01,2.16,Triangle_4
