@relation features_0_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Triangle_5,Square_5,Triangle_3,Circle_3,Rectangle_5,Circle_4,Rectangle_4,Circle_5,Triangle_4,Square_3,Square_4,Rectangle_3}

@data
-3451.5,52.36,89.95,87.21,84.17,98.48,7.54,51.92,53.71,46.76,55.3,52.36,2.04,1.98,2.26,Triangle_5
-3007.5,51.95,86.32,81.39,74.52,103.04,14.89,49.74,53.46,39.07,56.7,51.95,2.01,1.85,2.42,Square_3
-3031.5,51.66,86.32,82.76,74.2,102,14.24,49.77,52.68,39.87,56.77,51.66,2.04,1.85,2.4,Square_3
-3607.5,53.35,91.86,95.26,83.24,97.08,7.52,53.05,51.24,50.09,57.8,53.35,2.16,1.93,2.19,Triangle_5
-3585,53.37,91.74,94.85,82.13,98.23,8.49,52.98,51.42,49.25,58.26,53.37,2.16,1.91,2.22,Triangle_5
-3099,51.37,86.59,80.65,78.41,100.7,12.27,49.93,53.82,41.05,54.92,51.37,1.98,1.93,2.37,Square_3
-3034.5,49.98,85.04,80.06,78.45,96.61,10.05,49.06,52.24,41.89,53.05,49.98,2,1.96,2.32,Square_3
-2691,73.18,95.88,87.21,68.41,132.03,32.69,54.32,63.79,28.16,71.02,73.18,2.03,1.52,2.73,Rectangle_4
-2668,70.99,94.6,86.84,67.27,129.69,31.93,53.69,62.49,28.5,70.08,70.99,2.04,1.52,2.72,Rectangle_4
-4769.5,64.55,108.03,100.4,96.26,127.42,16.92,62.27,67.43,49.95,69.42,64.55,1.98,1.91,2.39,Square_4
-4710.5,64.85,107.87,100.12,94.92,128.57,18.11,62.15,67.54,48.92,70,64.85,1.98,1.89,2.42,Square_4
-2543,45.26,77.46,74.33,71.84,86.21,7.68,44.7,46.74,39.36,48.02,45.26,2.03,1.97,2.29,Triangle_4
-2397,44.54,75.66,71.28,69.43,86.28,9.24,43.65,46.49,37.05,47.41,44.54,2,1.95,2.33,Triangle_4
-2836,68.58,94.69,79.76,76.06,128.25,29.12,53.71,65.07,29.52,66.53,68.58,1.84,1.75,2.69,Rectangle_4
-2886,68.89,95.44,82.73,74.43,129.14,29.48,54.17,64.63,29.99,67.91,68.89,1.9,1.69,2.69,Rectangle_4
-2768,67.15,93.25,79.63,74.06,126.06,28.55,52.93,63.61,29.36,65.81,67.15,1.87,1.73,2.69,Rectangle_4
-2556,69.5,92.12,76.61,73.43,126.32,29.66,52.06,63.97,27.01,65.2,69.5,1.83,1.74,2.72,Rectangle_4
-2766.5,70.34,94.86,79.48,75.66,129.44,30.01,53.69,65.52,28.54,67.01,70.34,1.84,1.74,2.71,Rectangle_4
-2954,66.63,94.88,81.93,75.6,127.09,28.08,53.97,64.14,31.1,66.68,66.63,1.89,1.73,2.66,Rectangle_4
-2774.5,66.88,93.14,77.99,75.66,125.78,28.29,52.87,64.13,29.43,65.05,66.88,1.83,1.77,2.68,Rectangle_4
-2707.5,72.42,95.23,77.47,77.37,130.86,30.86,53.77,66.85,27.59,66.89,72.42,1.78,1.78,2.73,Rectangle_4
-2753,70.72,94.91,79.83,75.21,129.69,30.21,53.7,65.47,28.36,67.27,70.72,1.85,1.72,2.71,Rectangle_4
