TouchArea,SmallestInscribedCircleRadius,MeanPairedDistance,MedianPairedDistance,MinPairedDistance,MaxPairedDistance,SDPairedDistance,MeanCentroidVertexDistance,MedianCentroidVertexDistance,MinCentroidVertexDistance,MaxCentroidVertexDistance,MeanCircleCenterVertexDistance,MedianAngleSuccessiveVertices,MinAngleSuccessiveVertices,MaxAngleSuccessiveVertices,class
-5856.5,69.93,118.57,115.49,104.55,135.68,15.79,68.42,70.98,57.86,76.42,69.93,2.06,1.89,2.34,Circle_4
-3655.5,54.92,93.45,92.61,82.04,105.7,11.86,53.94,55.0,46.48,60.34,54.92,2.09,1.88,2.32,Circle_3
-4187.5,100.01,123.56,109.66,88.6,172.41,43.6,69.6,83.75,33.37,91.68,100.01,1.99,1.52,2.77,Rectangle_5
-1303.0,32.52,55.55,53.15,51.2,62.29,5.92,32.05,33.63,27.91,34.62,32.52,2.02,1.96,2.3,Triangle_3
-4696.5,66.21,108.98,106.61,88.53,131.8,21.73,62.82,65.87,48.34,74.26,66.21,2.08,1.75,2.45,Square_4
-2171.0,47.73,75.74,66.4,65.46,95.35,16.99,43.48,49.83,30.36,50.24,47.73,1.89,1.87,2.53,Rectangle_3
-6204.5,79.37,129.9,151.92,84.72,153.06,39.13,75.65,65.09,64.2,97.66,79.37,2.42,1.43,2.43,Circle_5
-2873.0,48.48,82.79,87.42,70.34,90.61,10.9,47.83,45.55,43.42,54.52,48.48,2.2,1.82,2.26,Circle_3
-2340.0,42.67,73.7,72.0,71.18,77.94,3.69,42.55,43.58,40.04,44.03,42.67,2.06,2.04,2.19,Triangle_4
-3272.0,50.62,87.29,86.28,82.3,93.3,5.57,50.4,51.11,46.82,53.26,50.62,2.08,1.99,2.21,Triangle_5
-3895.5,92.29,117.06,101.83,86.98,162.36,39.93,66.0,79.92,32.5,85.57,92.29,1.94,1.59,2.75,Rectangle_5
-5100.0,63.11,108.93,111.14,101.4,114.24,6.7,62.89,61.74,59.83,67.1,63.11,2.13,1.97,2.18,Circle_4
-1187.0,30.39,52.5,52.8,49.65,55.04,2.71,30.31,30.18,28.82,31.92,30.39,2.11,2.0,2.18,Triangle_3
-7720.5,78.98,135.26,142.86,117.02,145.91,15.87,78.14,74.2,72.2,88.01,78.98,2.2,1.85,2.23,Circle_5
-2758.5,69.41,94.29,78.55,75.95,128.38,29.55,53.4,65.26,28.67,66.28,69.41,1.82,1.76,2.7,Rectangle_4
-3384.0,53.11,90.05,84.9,82.02,103.23,11.5,51.95,55.34,43.74,56.76,53.11,2.0,1.94,2.34,Triangle_5
-6285.0,77.47,126.41,115.76,108.72,154.74,24.79,72.74,80.37,54.26,83.58,77.47,1.96,1.85,2.47,Square_5
-4121.5,84.33,115.0,96.51,92.11,156.39,35.91,65.16,79.28,35.18,81.01,84.33,1.84,1.74,2.7,Rectangle_5
-7945.0,80.16,137.26,146.37,118.41,146.99,16.33,79.29,74.41,74.0,89.47,80.16,2.21,1.85,2.22,Circle_5
-3601.5,53.2,91.66,90.21,86.15,98.62,6.36,52.91,53.91,48.75,56.08,53.2,2.07,1.99,2.22,Circle_3
-2295.0,42.62,73.33,76.16,66.01,77.83,6.4,42.35,40.86,39.8,46.38,42.62,2.16,1.92,2.2,Triangle_4
-5139.0,64.09,109.93,106.47,102.04,121.26,10.07,63.45,65.74,56.56,68.04,64.09,2.04,1.97,2.27,Circle_4
-3022.0,48.45,83.73,85.88,79.01,86.31,4.1,48.35,47.15,46.89,51.0,48.45,2.14,2.0,2.15,Circle_3
-3157.0,49.43,85.5,86.35,82.02,88.12,3.14,49.36,48.91,47.85,51.33,49.43,2.11,2.02,2.15,Triangle_5
-3930.0,65.38,102.68,91.76,85.91,130.38,24.17,58.91,66.95,40.28,69.49,65.38,1.93,1.81,2.54,Square_4
-1800.0,54.89,76.06,71.45,53.67,103.08,25.03,43.35,49.33,24.37,56.35,54.89,2.08,1.51,2.7,Rectangle_3
-4941.0,63.0,107.96,108.17,96.84,118.87,11.02,62.33,62.64,55.8,68.54,63.0,2.1,1.91,2.27,Circle_4
-2413.0,43.14,74.68,75.11,72.92,76.03,1.6,43.12,42.89,42.34,44.13,43.14,2.1,2.05,2.13,Triangle_4
-2915.5,50.58,84.62,81.93,72.18,99.74,13.98,48.8,51.21,39.3,55.89,50.58,2.06,1.83,2.4,Square_3
-5723.0,78.24,123.46,109.11,105.11,156.17,28.4,70.84,80.95,48.9,82.69,78.24,1.91,1.84,2.54,Square_5
-2841.5,64.94,93.14,85.87,69.03,124.52,28.45,53.14,60.71,31.22,67.49,64.94,2.02,1.6,2.66,Rectangle_4
-4009.0,65.94,103.62,91.08,88.28,131.5,24.19,59.44,68.21,40.67,69.43,65.94,1.9,1.84,2.54,Square_4
-2261.0,52.01,79.39,70.09,65.28,102.8,20.42,45.43,52.44,29.4,54.47,52.01,1.92,1.78,2.59,Square_3
-1685.5,54.64,74.28,68.36,53.24,101.24,24.54,42.22,48.87,23.01,54.78,54.64,2.04,1.53,2.71,Rectangle_3
-2445.0,78.0,94.76,76.48,75.24,132.57,32.75,53.14,67.19,24.59,67.65,78.0,1.77,1.74,2.77,Rectangle_4
-2909.0,50.33,84.3,76.9,76.69,99.3,12.99,48.59,53.3,39.06,53.4,50.33,1.95,1.94,2.39,Square_3
-7938.0,80.69,137.42,128.86,127.74,155.65,15.8,79.29,84.65,68.0,85.21,80.69,1.99,1.98,2.32,Square_5
-1386.5,32.77,56.67,56.3,54.71,59.0,2.17,32.72,32.96,31.35,33.84,32.77,2.08,2.03,2.17,Triangle_3
-3952.5,56.58,96.83,101.24,83.74,105.51,11.54,55.93,53.79,50.98,63.03,56.58,2.18,1.85,2.25,Triangle_5
-3252.0,51.06,87.59,91.59,76.94,94.25,9.32,50.59,48.56,46.82,56.4,51.06,2.18,1.88,2.23,Rectangle_4
-6198.0,70.22,120.66,123.65,108.17,130.17,11.3,69.68,68.31,64.15,76.57,70.22,2.14,1.91,2.23,Circle_4
-4211.5,57.78,99.38,103.31,89.14,105.7,8.95,57.39,55.34,53.82,63.02,57.78,2.17,1.91,2.21,Rectangle_5
-7704.5,89.35,145.68,170.5,93.13,173.42,45.53,84.91,73.35,71.03,110.36,89.35,2.43,1.4,2.45,Square_5
-5540.5,75.03,122.78,143.96,80.01,144.37,37.04,71.5,61.25,60.93,92.34,75.03,2.43,1.43,2.43,Square_4
-1949.0,39.45,67.74,70.26,60.03,72.92,6.8,39.12,37.87,36.16,43.34,39.45,2.16,1.89,2.23,Rectangle_3
