@relation features_1_cfs_filter

@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute class {Circle_4,Rectangle_5,Circle_5,Triangle_4,Triangle_5,Circle_3,Square_5,Square_4,Square_3,Triangle_3,Rectangle_3,Rectangle_4}

@data
-2828,50.81,84.04,79.91,71.22,101,15.32,48.42,51.81,37.58,55.88,50.81,2.03,1.82,2.43,Square_3
-2745.5,53.22,85.42,85.87,63.95,106.44,21.25,49.27,51.06,35.9,60.84,53.22,2.15,1.62,2.51,Square_3
-2682.5,52.56,84.23,82.73,64.85,105.12,20.18,48.52,51.28,35.04,59.24,52.56,2.1,1.67,2.51,Square_3
-6831,79.04,131.22,135.47,102.18,156.02,27.17,75.82,75.43,60.78,91.26,79.04,2.18,1.69,2.42,Square_5
-7214,80.41,133.85,132.01,110.54,159.02,24.3,77.22,79.99,61.46,90.19,80.41,2.09,1.78,2.41,Square_5
-5128,68.8,114.4,124.6,84.38,134.24,26.45,66.27,62.14,55.04,81.63,68.8,2.28,1.6,2.4,Square_4
-5225,67.94,113.92,120.17,89.36,132.23,22.11,65.87,63.68,55.14,78.79,67.94,2.21,1.7,2.37,Square_4
-3350,64.93,97.57,82.76,82.46,127.48,25.9,55.75,66.04,35.04,66.16,64.93,1.84,1.84,2.61,Rectangle_4
-2952,67.74,96.09,91.24,67.88,129.14,30.91,54.89,61.68,31.95,71.02,67.74,2.09,1.52,2.68,Rectangle_4
-4654.5,65.89,108.5,106.79,87.62,131.1,21.79,62.57,65.25,48.28,74.17,65.89,2.09,1.74,2.45,Square_4
-4496,66.05,107.62,106.1,84.9,131.86,23.51,62.04,64.92,46.6,74.6,66.05,2.1,1.71,2.47,Square_4
