Participant	FingersCount	TouchArea	SmallestInscribedCircleRadius	MeanPairedDistance	MedianPairedDistance	MinPairedDistance	MaxPairedDistance	SDPairedDistance	MeanCentroidVertexDistance	MedianCentroidVertexDistance	MinCentroidVertexDistance	MaxCentroidVertexDistance	SDCentroidVertexDistance	MeanCircleCenterVertexDistance	MedianCircleCenterVertexDistance	MinCircleCenterVertexDistance	MaxCircleCenterVertexDistance	SDCircleCenterVertexDistance	MeanAngleSuccessiveVertices	MedianAngleSuccessiveVertices	MinAngleSuccessiveVertices	MaxAngleSuccessiveVertices	SDAngleSuccessiveVertices	class
0	3	-2918	50.35	84.68	87.57	68.47	98.01	14.98	48.93	48.21	40.97	57.6	8.34	50.35	50.35	50.35	50.35	0	2.09	2.17	1.75	2.37	0.32	Circle_3
0	3	-2909	50.49	84.8	88.96	67.27	98.18	15.87	49.02	47.63	41.14	58.29	8.66	50.49	50.49	50.49	50.49	0	2.09	2.2	1.72	2.37	0.34	Circle_3
0	3	-6727	79.23	131.54	145.23	95.21	154.18	31.78	76.26	70.38	63.72	94.67	16.29	79.23	79.23	79.23	79.23	0	2.09	2.3	1.58	2.4	0.45	Circle_5
0	3	-7074	80.52	134.04	144.94	100	157.18	30.1	77.61	73.34	64.39	95.12	15.8	80.52	80.52	80.52	80.52	0	2.09	2.26	1.62	2.4	0.42	Circle_5
0	3	-2824	50.13	83.45	76.03	74.97	99.36	13.79	48.08	52.92	37.9	53.42	8.82	50.13	50.13	50.13	50.13	0	2.09	1.95	1.92	2.41	0.28	Square_3
0	3	-2695	50.34	82.51	76.03	71.06	100.45	15.73	47.5	52.17	35.85	54.46	10.15	50.34	50.34	50.34	50.34	0	2.09	1.97	1.85	2.46	0.32	Square_3
0	3	-2707	46.84	80.07	79.4	71.61	89.2	8.81	46.22	46.98	40.7	50.99	5.18	46.84	46.84	46.84	46.84	0	2.09	2.09	1.91	2.29	0.19	Triangle_4
0	3	-2599.5	45.58	78.19	77.01	71.56	86.01	7.29	45.14	46.07	40.42	48.91	4.32	45.58	45.58	45.58	45.58	0	2.09	2.07	1.95	2.26	0.16	Triangle_4
0	3	-3855	89.86	115.32	95.71	90.8	159.45	38.3	64.99	80.4	32.29	82.28	28.33	89.86	89.86	89.86	89.86	0	2.09	1.83	1.71	2.74	0.56	Rectangle_5
0	3	-4109	85.95	115.7	95.04	94.11	157.95	36.59	65.47	80.68	34.69	81.04	26.66	85.95	85.95	85.95	85.95	0	2.09	1.8	1.78	2.71	0.53	Rectangle_5
0	3	-6263	78.23	126.76	112.79	111.09	156.42	25.69	72.89	82.25	53.39	83.02	16.89	78.23	78.23	78.23	78.23	0	2.09	1.91	1.89	2.48	0.34	Square_5
0	3	-6090	77.66	125.36	112.09	108.67	155.31	26	72.06	81.17	52.31	82.7	17.12	77.66	77.66	77.66	77.66	0	2.09	1.92	1.87	2.49	0.35	Square_5
0	3	-3041	50.33	85.39	83.22	75.43	97.53	11.21	49.27	51.07	41.79	54.96	6.77	50.33	50.33	50.33	50.33	0	2.09	2.06	1.89	2.33	0.22	Circle_3
0	3	-3096	50.76	86.18	85.49	74.97	98.09	11.58	49.74	50.74	42.47	56.02	6.83	50.76	50.76	50.76	50.76	0	2.09	2.09	1.86	2.33	0.23	Circle_3
0	3	-2040.5	51.48	77.05	73.68	56.44	101.04	22.49	44.17	48.72	27.92	55.87	14.52	51.48	51.48	51.48	51.48	0	2.09	2.08	1.58	2.62	0.52	Rectangle_3
0	3	-2030	50.88	76.45	71.78	57.56	100	21.6	43.79	48.85	27.75	54.77	14.2	50.88	50.88	50.88	50.88	0	2.09	2.04	1.63	2.61	0.49	Rectangle_3
0	3	-2867	49.25	83.27	82.86	71.18	95.77	12.3	48.06	49	40.4	54.78	7.24	49.25	49.25	49.25	49.25	0	2.09	2.1	1.83	2.35	0.26	Circle_3
0	3	-2795	49.32	82.9	85.44	67.12	96.15	14.68	47.89	47.38	39.95	56.36	8.22	49.32	49.32	49.32	49.32	0	2.09	2.17	1.75	2.37	0.32	Circle_3
0	3	-2260	75.87	91.53	75.64	70.71	128.23	31.88	51.31	64.26	23.57	66.1	24.04	75.87	75.87	75.87	75.87	0	2.09	1.83	1.67	2.78	0.6	Rectangle_4
