@relation whatever

@attribute Participant numeric
@attribute FingersCount numeric
@attribute TouchArea numeric
@attribute SmallestInscribedCircleRadius numeric
@attribute MeanPairedDistance numeric
@attribute MedianPairedDistance numeric
@attribute MinPairedDistance numeric
@attribute MaxPairedDistance numeric
@attribute SDPairedDistance numeric
@attribute MeanCentroidVertexDistance numeric
@attribute MedianCentroidVertexDistance numeric
@attribute MinCentroidVertexDistance numeric
@attribute MaxCentroidVertexDistance numeric
@attribute SDCentroidVertexDistance numeric
@attribute MeanCircleCenterVertexDistance numeric
@attribute MedianCircleCenterVertexDistance numeric
@attribute MinCircleCenterVertexDistance numeric
@attribute MaxCircleCenterVertexDistance numeric
@attribute SDCircleCenterVertexDistance numeric
@attribute MeanAngleSuccessiveVertices numeric
@attribute MedianAngleSuccessiveVertices numeric
@attribute MinAngleSuccessiveVertices numeric
@attribute MaxAngleSuccessiveVertices numeric
@attribute SDAngleSuccessiveVertices numeric
@attribute class {Circle_4, Rectangle_5, Circle_5, Triangle_4, Triangle_5, Circle_3, Square_5, Square_4, Square_3, Triangle_3, Rectangle_3, Rectangle_4}

@data
1, 3, -4063.5, 86.95, 116.17, 104.06, 85.38, 159.06, 38.3, 65.85, 77.71, 34.86, 84.96, 27.08, 86.95, 86.95, 86.95, 86.95, 0, 2.09, 1.99, 1.58, 2.72, 0.58, Rectangle_5
1, 3, -2487.5, 50.22, 81.92, 91.48, 55.04, 99.25, 23.61, 47.6, 43.96, 37.93, 60.93, 11.93, 50.22, 50.22, 50.22, 50.22, 0, 2.09, 2.34, 1.47, 2.47, 0.55, Circle_3
1, 3, -2366, 48.85, 79.9, 90.47, 53.25, 95.96, 23.24, 46.46, 42.04, 37.76, 59.58, 11.56, 48.85, 48.85, 48.85, 48.85, 0, 2.09, 2.36, 1.46, 2.46, 0.55, Circle_3
1, 3, -3109, 51.3, 86.68, 84.86, 75.17, 100.02, 12.53, 50.02, 51.75, 41.77, 56.53, 7.53, 51.3, 51.3, 51.3, 51.3, 0, 2.09, 2.07, 1.86, 2.35, 0.25, Square_3
1, 3, -3108, 51.52, 86.78, 82.13, 77.2, 101, 12.56, 50.04, 53.31, 41.11, 55.71, 7.83, 51.52, 51.52, 51.52, 51.52, 0, 2.09, 2.01, 1.9, 2.37, 0.24, Square_3
1, 3, -2559, 72.32, 93.54, 78.29, 73.24, 129.1, 30.89, 52.76, 64.92, 26.5, 66.86, 22.76, 72.32, 72.32, 72.32, 72.32, 0, 2.09, 1.84, 1.7, 2.74, 0.56, Rectangle_4
1, 3, -2473, 74.7, 93.62, 76.01, 74.71, 130.14, 31.64, 52.64, 66.04, 25.34, 66.54, 23.64, 74.7, 74.7, 74.7, 74.7, 0, 2.09, 1.78, 1.74, 2.76, 0.57, Rectangle_4
1, 3, -5579.5, 80.4, 128.39, 151.64, 74.33, 159.2, 46.97, 75.2, 65.61, 59.34, 100.64, 22.25, 80.4, 80.4, 80.4, 80.4, 0, 2.09, 2.47, 1.27, 2.54, 0.71, Circle_5
1, 3, -5500, 79.33, 126.93, 149.41, 74.4, 156.98, 45.65, 74.29, 65.01, 58.76, 99.11, 21.72, 79.33, 79.33, 79.33, 79.33, 0, 2.09, 2.46, 1.29, 2.54, 0.7, Circle_5
1, 3, -1990, 47.36, 76.12, 91.05, 44.72, 92.57, 27.2, 44.56, 37.79, 36.53, 59.37, 12.84, 47.36, 47.36, 47.36, 47.36, 0, 2.09, 2.48, 1.29, 2.51, 0.7, Circle_3
